,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
16,OBJECT_ANALOG_INPUT_3000462,NAE07/FC-1.AHU 1&2.CHWS-T,Preheat Entering Water Temperature
17,OBJECT_ANALOG_INPUT_3000509,NAE07/FC-1.AHU 1&2.DA2-T,Discharge Air Temperature
18,OBJECT_ANALOG_INPUT_3000510,NAE07/FC-1.AHU 1&2.DA2-H,Discharge Air Humidity
19,OBJECT_ANALOG_INPUT_3000547,NAE07/FC-1.NAE7-T1-FEC47.PCHWR-T,Primary CHW Return Temp
20,OBJECT_ANALOG_INPUT_3000548,NAE07/FC-1.NAE7-T1-FEC47.PCHWS-T,Primary CHW Supply Temp
21,OBJECT_ANALOG_INPUT_3000607,NAE07/FC-1.NAE7-T1-FEC47.EA-H,EF-12
22,OBJECT_ANALOG_INPUT_3000610,NAE07/FC-1.NAE7-T1-FEC43.PCHW-DP,Cond Water Diff Pressure
23,OBJECT_ANALOG_INPUT_3000617,NAE07/FC-1.NAE7-T1-FEC52.SHWS-T,Secondary HW Supply Temp
24,OBJECT_ANALOG_INPUT_3000620,NAE07/FC-1.NAE7-T1-FEC52.PHWS-T,Primary HW Supply Temp
25,OBJECT_ANALOG_INPUT_3000621,NAE07/FC-1.NAE7-T1-FEC52.SHWR-T,Secondary HW Return Temp
26,OBJECT_ANALOG_INPUT_3000632,NAE07/FC-1.NAE7-T1-FEC52.SHW-DP,Hot Water Diff Pressure
27,OBJECT_ANALOG_INPUT_3000651,NAE07/FC-1.NAE7-T1-FEC52.OA-H,Outdoor Air Humidity
28,OBJECT_ANALOG_INPUT_3000652,NAE07/FC-1.NAE7-T1-FEC52.OA-T,Outdoor Air Temperature
29,OBJECT_ANALOG_INPUT_3000667,NAE07/FC-1.NAE7-T1-FEC52.PHW-DP,Primary Hot Water Differential Pressure
30,OBJECT_ANALOG_OUTPUT_3000276,NAE07/FC-1.NAE7-T1-FEC43.SCHWP16-O,Secondary CHW Pump 3 Output
31,OBJECT_ANALOG_OUTPUT_3000279,NAE07/FC-1.NAE7-T1-FEC43.SCHWP15-O,Secondary CHW Pump 2 Output
32,OBJECT_ANALOG_OUTPUT_3000280,NAE07/FC-1.NAE7-T1-FEC43.SCHWP14-O,Secondary CHW Pump 1 Output
33,OBJECT_ANALOG_OUTPUT_3000290,NAE07/FC-1.NAE7-T1-FEC44.EAD-O,GEN 1 Exhaust Air Damper Output
34,OBJECT_ANALOG_OUTPUT_3000291,NAE07/FC-1.NAE7-T1-FEC44.RAD-O,GEN 1 Recirculation Air Damper Output
35,OBJECT_ANALOG_OUTPUT_3000293,NAE07/FC-1.NAE7-T1-FEC44.OAD-O,Outdoor Air Damper Output
36,OBJECT_ANALOG_OUTPUT_3000333,NAE07/FC-1.NAE7-T1-FEC47.EF12-O,Supply Fan Output
37,OBJECT_ANALOG_OUTPUT_3000334,NAE07/FC-1.NAE7-T1-FEC47.EF11-O,Supply Fan Output
38,OBJECT_ANALOG_OUTPUT_3000345,NAE07/FC-1.NAE7-T1-FEC50.CLG-O,Cooling Valve  Output
39,OBJECT_ANALOG_OUTPUT_3000450,NAE07/FC-1.AHU 1&2.HUM-O,Humidifier Output
40,OBJECT_ANALOG_OUTPUT_3000452,NAE07/FC-1.AHU 1&2.SF-O,Supply Fan Output
41,OBJECT_ANALOG_OUTPUT_3000461,NAE07/FC-1.AHU 1&2.SF2-O,Supply Fan2 Output
42,OBJECT_ANALOG_OUTPUT_3000501,NAE07/FC-1.AHU 1&2.HUM2-O,Humidifier Output
43,OBJECT_ANALOG_OUTPUT_3000502,NAE07/FC-1.AHU 1&2.CV1-%,Sideloop Effective Command
44,OBJECT_ANALOG_OUTPUT_3000534,NAE07/FC-1.NAE7-T1-FEC46.EF10-O,EF-10 Output
45,OBJECT_ANALOG_OUTPUT_3000535,NAE07/FC-1.NAE7-T1-FEC46.EF13-O,EF-13 Output
46,OBJECT_ANALOG_OUTPUT_3000614,NAE07/FC-1.NAE7-T1-FEC43.SCHW Mixing Vavle -%,V-25
47,OBJECT_ANALOG_OUTPUT_3000622,NAE07/FC-1.NAE7-T1-FEC52.SHWP1-O,Secondary HW Pump 1 Output
48,OBJECT_ANALOG_OUTPUT_3000623,NAE07/FC-1.NAE7-T1-FEC52.SHWP2-O,Secondary HW Pump 2 Output
49,OBJECT_ANALOG_OUTPUT_3000643,NAE07/FC-1.NAE7-T1-FEC52.PHWP1-O,Primary HW Pump 1 Output
50,OBJECT_ANALOG_OUTPUT_3000644,NAE07/FC-1.NAE7-T1-FEC52.PHWP2-O,Primary HW Pump 2 Output
51,OBJECT_ANALOG_OUTPUT_3000668,NAE07/FC-1.NAE7-T1-FEC52.HWV--%,Sideloop Effective Command
52,OBJECT_ANALOG_OUTPUT_3000740,NAE07/FC-1.NAE7-T1-FEC52.BLRSP-O,Boiler 1 Setpoint Output
53,OBJECT_ANALOG_VALUE_3000285,NAE07/FC-1.NAE7-T1-FEC43.SCHWPSTG-SP,Secondary Chill Water Stageup Setpoint
54,OBJECT_ANALOG_VALUE_3000287,NAE07/FC-1.NAE7-T1-FEC43.SCHWDP-SP,CHW Differential Pressure Setpoint
55,OBJECT_ANALOG_VALUE_3000300,NAE07/FC-1.NAE7-T1-FEC44.Purge Cycle Timer,CS Input (Float)
56,OBJECT_ANALOG_VALUE_3000302,NAE07/FC-1.NAE7-T1-FEC44.Space Temp Setpoint,CS Input (Float)
57,OBJECT_ANALOG_VALUE_3000311,NAE07/FC-1.NAE7-T1-FEC45.EF 20 Setpoint,CS Input (Float)
58,OBJECT_ANALOG_VALUE_3000312,NAE07/FC-1.NAE7-T1-FEC45.EF 21 Setpoint,CS Input (Float)
59,OBJECT_ANALOG_VALUE_3000351,NAE07/FC-1.NAE7-T1-FEC50.ZNT-SP,Common Setpoint
60,OBJECT_ANALOG_VALUE_3000352,NAE07/FC-1.NAE7-T1-FEC50.Min On Timer,CS Input (Float)
61,OBJECT_ANALOG_VALUE_3000458,NAE07/FC-1.AHU 1&2.CHWR-T SP,CS Input (Float)
62,OBJECT_ANALOG_VALUE_3000459,NAE07/FC-1.AHU 1&2.RARH-1,CS Input (Float)
63,OBJECT_ANALOG_VALUE_3000460,NAE07/FC-1.AHU 1&2.RARH-2,CS Input (Float)
64,OBJECT_ANALOG_VALUE_3000470,NAE07/FC-1.AHU 1&2.DAT-SP,Discharge Air Temperature Setpoint
65,OBJECT_ANALOG_VALUE_3000471,NAE07/FC-1.AHU 1&2.DAP-SP,Duct Static Pressure Setpoint
66,OBJECT_ANALOG_VALUE_3000472,NAE07/FC-1.AHU 1&2.HTG-RAMPRATE,
67,OBJECT_ANALOG_VALUE_3000474,NAE07/FC-1.AHU 1&2.LT-SP,
68,OBJECT_ANALOG_VALUE_3000475,NAE07/FC-1.AHU 1&2.OALT-SP,
69,OBJECT_ANALOG_VALUE_3000478,NAE07/FC-1.AHU 1&2.OA-T,Outdoor Air Temperature
70,OBJECT_ANALOG_VALUE_3000486,NAE07/FC-1.AHU 1&2.SFSTG-SP,Supply Fan Stageup Setpoint
71,OBJECT_ANALOG_VALUE_3000494,NAE07/FC-1.AHU 1&2.PFRESTART-TIME,Power Fail Restart Time
72,OBJECT_ANALOG_VALUE_3000498,NAE07/FC-1.AHU 1&2.OCCMODE-BYPASSTIME,
73,OBJECT_ANALOG_VALUE_3000505,NAE07/FC-1.AHU 1&2.PreHeat Control ABSERROR,Absolute EWMA Error
74,OBJECT_ANALOG_VALUE_3000506,NAE07/FC-1.AHU 1&2.PreHeat Control ABSEFFORT,Absolute EWMA Effort
75,OBJECT_ANALOG_VALUE_3000507,NAE07/FC-1.AHU 1&2.PreHeat Control ERROR,EWMA Error
76,OBJECT_ANALOG_VALUE_3000508,NAE07/FC-1.AHU 1&2.PreHeat Control EWMA,EWMA Present Value
77,OBJECT_ANALOG_VALUE_3000517,NAE07/FC-1.AHU 1&2.DATHTGUNOCC-SP,Unocc Heating Setpoint
78,OBJECT_ANALOG_VALUE_3000518,NAE07/FC-1.AHU 1&2.DATCLGUNOCC-SP,Unocc Cooling Setpoint
79,OBJECT_ANALOG_VALUE_3000519,NAE07/FC-1.AHU 1&2.EFFDAT-SP,Discharge Air Setpoint
80,OBJECT_ANALOG_VALUE_3000520,NAE07/FC-1.AHU 1&2.EMERGENCY SF-O,Emergency On Percent Cmd
81,OBJECT_ANALOG_VALUE_3000521,NAE07/FC-1.AHU 1&2.EMERGENCY DAP-SP,Emergency Duct Static Setpoint
82,OBJECT_ANALOG_VALUE_3000536,NAE07/FC-1.NAE7-T1-FEC46.Mech Rm Temp Setpoint,CS Input (Float)
83,OBJECT_ANALOG_VALUE_3000544,NAE07/FC-1.NAE7-T1-FEC47.EF 11 Speed,
84,OBJECT_ANALOG_VALUE_3000545,NAE07/FC-1.NAE7-T1-FEC47.EF12-Flow Setpoint,CS Input (Float)
85,OBJECT_ANALOG_VALUE_3000546,NAE07/FC-1.NAE7-T1-FEC47.EF12-Total Flow,CS Input (Float)
86,OBJECT_ANALOG_VALUE_3000562,NAE07/FC-1.NAE7-T1-FEC45.OA-T,CS Input (Float)
87,OBJECT_ANALOG_VALUE_3000585,NAE07/FC-1.NAE7-T1-FEC46.OA-T,CS Input (Float)
88,OBJECT_ANALOG_VALUE_3000648,NAE07/FC-1.NAE7-T1-FEC52.PCHWDP-SP,CS Input (Float)
89,OBJECT_ANALOG_VALUE_3000654,NAE07/FC-1.NAE7-T1-FEC52.SHWDP-SP,HW Differential Pressure Setpoint
90,OBJECT_ANALOG_VALUE_3000655,NAE07/FC-1.NAE7-T1-FEC52.PHWP1-RUNTIME,
91,OBJECT_ANALOG_VALUE_3000656,NAE07/FC-1.NAE7-T1-FEC52.PHWP2-RUNTIME,
92,OBJECT_ANALOG_VALUE_3000657,NAE07/FC-1.NAE7-T1-FEC52.PHWP-RUNNING,
93,OBJECT_ANALOG_VALUE_3000658,NAE07/FC-1.NAE7-T1-FEC52.PMPDOWN-TIME,
94,OBJECT_ANALOG_VALUE_3000662,NAE07/FC-1.NAE7-T1-FEC52.SHWP1-RUNTIME,
95,OBJECT_ANALOG_VALUE_3000670,NAE07/FC-1.NAE7-T1-FEC52.HWST-SP,
96,OBJECT_ANALOG_VALUE_3000735,NAE07/FC-1.NAE7-T1-FEC52.OA Low Setpoint,CS Input (Float)
97,OBJECT_ANALOG_VALUE_3000736,NAE07/FC-1.NAE7-T1-FEC52.BLR Low Setpoint,CS Input (Float)
98,OBJECT_ANALOG_VALUE_3000737,NAE07/FC-1.NAE7-T1-FEC52.OA High Setpoint,CS Input (Float)
99,OBJECT_ANALOG_VALUE_3000738,NAE07/FC-1.NAE7-T1-FEC52.Blr High Setpoint,CS Input (Float)
100,OBJECT_ANALOG_VALUE_3000739,NAE07/FC-1.NAE7-T1-FEC52.Boiler system Enable Temp,CS Input (Float)
101,OBJECT_ANALOG_VALUE_3000781,NAE07/FC-1.NAE7-T1-FEC52.SHWP2-RUNTIME,
102,OBJECT_ANALOG_VALUE_3000893,NAE07/FC-1.FCU-28.AV-7,
103,OBJECT_ANALOG_VALUE_3000894,NAE07/FC-1.FCU-28.AV-44,
104,OBJECT_ANALOG_VALUE_3000895,NAE07/FC-1.FCU-28.AV-42,
105,OBJECT_ANALOG_VALUE_3000896,NAE07/FC-1.FCU-28.AV-40,
106,OBJECT_ANALOG_VALUE_3000901,NAE07/FC-1.FCU-28.AV-22,
107,OBJECT_ANALOG_VALUE_3001385,NAE07/FC-1.NAE7-T1-FEC43.SCHWP1-RUNTIME,
108,OBJECT_ANALOG_VALUE_3001386,NAE07/FC-1.NAE7-T1-FEC43.SCHWP2-RUNTIME,
109,OBJECT_ANALOG_VALUE_3001387,NAE07/FC-1.NAE7-T1-FEC43.SCHWP3-RUNTIME,
110,OBJECT_ANALOG_VALUE_3001544,NAE07/FC-1.AHU 1&2.%RH Shutdown,Humidity shutsdown 10 min when reached
111,OBJECT_ANALOG_VALUE_3001546,NAE07/FC-1.AHU 1&2.OA-LOW,CS Input (Float)
112,OBJECT_ANALOG_VALUE_3001547,NAE07/FC-1.AHU 1&2.RARH-LOW,CS Input (Float)
113,OBJECT_ANALOG_VALUE_3001548,NAE07/FC-1.AHU 1&2.OA-HIGH,CS Input (Float)
114,OBJECT_ANALOG_VALUE_3001549,NAE07/FC-1.AHU 1&2.Max DA-H,CS Input (Float)
115,OBJECT_ANALOG_VALUE_3001550,NAE07/FC-1.AHU 1&2.RARH-HIGH,CS Input (Float)
116,OBJECT_ANALOG_VALUE_3001551,NAE07/FC-1.AHU 1&2.Max HUM-O Position,CS Input (Float)
117,OBJECT_ANALOG_VALUE_3001552,NAE07/FC-1.AHU 1&2.% Stg Dwn SP,CS Input (Float)
118,OBJECT_ANALOG_VALUE_3001553,NAE07/FC-1.AHU 1&2.HUM-SP,Output (Float)
119,OBJECT_ANALOG_VALUE_3001556,NAE07/FC-1.NAE7-T1-FEC52.Secondary SP,Output (Float)
120,OBJECT_ANALOG_VALUE_3002025,NAE07/FC-1.NAE7-T1-FEC52.PHW-SP,Boiler Setpoint
121,OBJECT_ANALOG_VALUE_3002075,NAE07/Programming.Boilers PrimaryAdj,
122,OBJECT_ANALOG_VALUE_3003025,NAE07/Programming.HWS Setpoints Occ-Unocc.Occ Blr High Sp,
123,OBJECT_ANALOG_VALUE_3003026,NAE07/Programming.HWS Setpoints Occ-Unocc.Occ Blr Low Sp,
124,OBJECT_ANALOG_VALUE_3003027,NAE07/Programming.HWS Setpoints Occ-Unocc.UnOcc Blr High Sp,
125,OBJECT_ANALOG_VALUE_3003028,NAE07/Programming.HWS Setpoints Occ-Unocc.UnOcc Blr Low Sp,
126,OBJECT_ANALOG_VALUE_3003151,NAE07/FC-1.NAE7-T1-FEC52.SHWTS-SP,Secondar HW Temp Supply Setpoint
127,OBJECT_ANALOG_VALUE_3003152,NAE07/FC-1.NAE7-T1-FEC52.Boiler setpoint,Output (Float)
128,OBJECT_ANALOG_VALUE_3003199,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR4-Runtime,
129,OBJECT_ANALOG_VALUE_3003203,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR1-Runtime,
130,OBJECT_ANALOG_VALUE_3003204,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR1P1-Runtime,
131,OBJECT_ANALOG_VALUE_3003205,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR2-Runtime,
132,OBJECT_ANALOG_VALUE_3003206,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR2P2 Runtime,
133,OBJECT_ANALOG_VALUE_3003207,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR3-Runtime,
134,OBJECT_ANALOG_VALUE_3003208,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR3P3-Runtime,
135,OBJECT_ANALOG_VALUE_3003209,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR4P4-Runtime,
136,OBJECT_ANALOG_VALUE_3003210,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR5-Runtime,
137,OBJECT_ANALOG_VALUE_3003211,NAE07/Programming.HWS Boilers- Pumps Runtime.BLR5P5-Runtime,
138,OBJECT_BINARY_INPUT_3000274,NAE07/FC-1.NAE7-T1-FEC43.SCHWP16-S,Secondary CHW Pump 3 Status
139,OBJECT_BINARY_INPUT_3000275,NAE07/FC-1.NAE7-T1-FEC43.SCHWP15-S,Secondary CHW Pump 2 Status
140,OBJECT_BINARY_INPUT_3000278,NAE07/FC-1.NAE7-T1-FEC43.SCHWP14-S,Secondary CHW Pump 1 Status
141,OBJECT_BINARY_INPUT_3000288,NAE07/FC-1.NAE7-T1-FEC44.GENA-S,Diesel Generator 1 Status
142,OBJECT_BINARY_INPUT_3000292,NAE07/FC-1.NAE7-T1-FEC44.EAD-ES,GEN 2 Exhaust Air Damper Close Status
143,OBJECT_BINARY_INPUT_3000295,NAE07/FC-1.NAE7-T1-FEC44.EF28-S,Exhaust Fan EF-G-05 Status
144,OBJECT_BINARY_INPUT_3000297,NAE07/FC-1.NAE7-T1-FEC44.OAD-ES,GEN 2 Combustion Damper Close Status
145,OBJECT_BINARY_INPUT_3000298,NAE07/FC-1.NAE7-T1-FEC44.RAD-ES,GEN 2 Combustion Damper Open Status
146,OBJECT_BINARY_INPUT_3000304,NAE07/FC-1.NAE7-T1-FEC45.HT21-A,SF2 HIGH TEMP ALARM
147,OBJECT_BINARY_INPUT_3000305,NAE07/FC-1.NAE7-T1-FEC45.EF21-S,Exhaust Fan Status
148,OBJECT_BINARY_INPUT_3000308,NAE07/FC-1.NAE7-T1-FEC45.HT20-A,EF 23 HIGH TEAMP
149,OBJECT_BINARY_INPUT_3000310,NAE07/FC-1.NAE7-T1-FEC45.EF20-S,Exhaust Fan Status
150,OBJECT_BINARY_INPUT_3000315,NAE07/FC-1.NAE7-T1-FEC46.HT19-A,Heating Alarm
151,OBJECT_BINARY_INPUT_3000318,NAE07/FC-1.NAE7-T1-FEC46.HT10-A,Heating Alarm
152,OBJECT_BINARY_INPUT_3000319,NAE07/FC-1.NAE7-T1-FEC46.EF19-S,Exhaust Fan Status
153,OBJECT_BINARY_INPUT_3000321,NAE07/FC-1.NAE7-T1-FEC46.EF10-S,Exhaust Fan Status
154,OBJECT_BINARY_INPUT_3000324,NAE07/FC-1.NAE7-T1-FEC46.HT13-A,Heating Alarm
155,OBJECT_BINARY_INPUT_3000325,NAE07/FC-1.NAE7-T1-FEC46.EF13-S,Exhaust Fan Status
156,OBJECT_BINARY_INPUT_3000335,NAE07/FC-1.NAE7-T1-FEC47.HT12-A,SF2 HIGH TEMP ALARM
157,OBJECT_BINARY_INPUT_3000336,NAE07/FC-1.NAE7-T1-FEC47.EF12-S,Exhaust Fan Status
158,OBJECT_BINARY_INPUT_3000338,NAE07/FC-1.NAE7-T1-FEC47.HT11-A,EF 23 HIGH TEMP
159,OBJECT_BINARY_INPUT_3000340,NAE07/FC-1.NAE7-T1-FEC47.EF11-S,Exhaust Fan Status
160,OBJECT_BINARY_INPUT_3000346,NAE07/FC-1.NAE7-T1-FEC50.FILT-S,AHU3 Filter Status
161,OBJECT_BINARY_INPUT_3000348,NAE07/FC-1.NAE7-T1-FEC50.SF-S,AHU3 Supply Fan Status
162,OBJECT_BINARY_INPUT_3000445,NAE07/FC-1.AHU 1&2.DAPHI-A,Discharge Air High Duct Pressure
163,OBJECT_BINARY_INPUT_3000446,NAE07/FC-1.AHU 1&2.LT-A,Low Temperature Alarm
164,OBJECT_BINARY_INPUT_3000447,NAE07/FC-1.AHU 1&2.PFILT-S,PreFilter Status
165,OBJECT_BINARY_INPUT_3000453,NAE07/FC-1.AHU 1&2.SF-S,Supply Fan Status
166,OBJECT_BINARY_INPUT_3000456,NAE07/FC-1.AHU 1&2.PFILT2-S,Filter 2 Status
167,OBJECT_BINARY_INPUT_3000457,NAE07/FC-1.AHU 1&2.LT2-A,Low Temperature Alarm
168,OBJECT_BINARY_INPUT_3000464,NAE07/FC-1.AHU 1&2.SF2-S,Supply Fan2 Status
169,OBJECT_BINARY_INPUT_3000511,NAE07/FC-1.AHU 1&2.DAPHI2-A,Discharge Air High Duct Pressure
170,OBJECT_BINARY_INPUT_3000568,NAE07/FC-1.STEAM.STM-B1-STS,Steam Boiler 1 Status
171,OBJECT_BINARY_INPUT_3000570,NAE07/FC-1.STEAM.STM-B2-STS,Steam Boiler 2 Status
172,OBJECT_BINARY_INPUT_3000571,NAE07/FC-1.STEAM.STM-B1-ALM,Steam Boiler 1 Common Alarm
173,OBJECT_BINARY_INPUT_3000572,NAE07/FC-1.STEAM.STM-B2-ALM,Steam Boiler 2 Common Alarm
174,OBJECT_BINARY_INPUT_3000615,NAE07/FC-1.NAE7-T1-FEC52.BLR2-S,Boiler 2 Status
175,OBJECT_BINARY_INPUT_3000618,NAE07/FC-1.NAE7-T1-FEC52.BLR1-S,Boiler 1 Status
176,OBJECT_BINARY_INPUT_3000619,NAE07/FC-1.NAE7-T1-FEC52.BP2-S,Boiler Pump 2 Status
177,OBJECT_BINARY_INPUT_3000624,NAE07/FC-1.NAE7-T1-FEC52.BLR4-S,Boiler 4 Status
178,OBJECT_BINARY_INPUT_3000627,NAE07/FC-1.NAE7-T1-FEC52.BP4-S,Boiler Pump 4 Status
179,OBJECT_BINARY_INPUT_3000628,NAE07/FC-1.NAE7-T1-FEC52.OAD-ES,Min Outdoor Air Damper Status
180,OBJECT_BINARY_INPUT_3000629,NAE07/FC-1.NAE7-T1-FEC52.BLR3-S,Boiler 3 Status
181,OBJECT_BINARY_INPUT_3000631,NAE07/FC-1.NAE7-T1-FEC52.BP3-S,Boiler Pump 3 Status
182,OBJECT_BINARY_INPUT_3000637,NAE07/FC-1.NAE7-T1-FEC52.BP5-S,Boiler Pump 5 Status
183,OBJECT_BINARY_INPUT_3000638,NAE07/FC-1.NAE7-T1-FEC52.BLR6-S,Boiler 6 Status
184,OBJECT_BINARY_INPUT_3000639,NAE07/FC-1.NAE7-T1-FEC52.SHWP1-S,Secondary HW Pump 1 Status
185,OBJECT_BINARY_INPUT_3000640,NAE07/FC-1.NAE7-T1-FEC52.SHWP2-S,Secondary HW Pump 2 Status
186,OBJECT_BINARY_INPUT_3000641,NAE07/FC-1.NAE7-T1-FEC52.BP6-S,Boiler Pump 6 Status
187,OBJECT_BINARY_INPUT_3000642,NAE07/FC-1.NAE7-T1-FEC52.BLR5-S,Boiler 5 Status
188,OBJECT_BINARY_INPUT_3000645,NAE07/FC-1.NAE7-T1-FEC52.PHWP1-S,Primary HW Pump 1 Status
189,OBJECT_BINARY_INPUT_3000647,NAE07/FC-1.NAE7-T1-FEC52.PHWP2-S,Primary HW Pump 2 Status
190,OBJECT_BINARY_INPUT_3000666,NAE07/FC-1.NAE7-T1-FEC52.BP1-S,Boiler Pump 1 Status
191,OBJECT_BINARY_OUTPUT_3000270,NAE07/FC-1.NAE7-T1-FEC43.V24-C,Chiller 1 CHW Isolation Valve Command
192,OBJECT_BINARY_OUTPUT_3000271,NAE07/FC-1.NAE7-T1-FEC43.V23-C,Chiller 1 CHW Isolation Valve Command
193,OBJECT_BINARY_OUTPUT_3000272,NAE07/FC-1.NAE7-T1-FEC43.SCHWP15-C,Secondary CHW Pump 2 Command
194,OBJECT_BINARY_OUTPUT_3000273,NAE07/FC-1.NAE7-T1-FEC43.SCHWP16-C,Secondary CHW Pump 3 Command
195,OBJECT_BINARY_OUTPUT_3000277,NAE07/FC-1.NAE7-T1-FEC43.SCHWP14-C,Secondary CHW Pump 1 Command
196,OBJECT_BINARY_OUTPUT_3000289,NAE07/FC-1.NAE7-T1-FEC44.OAD-C,GEN 1 Outdoor Air Damper 1 Command
197,OBJECT_BINARY_OUTPUT_3000294,NAE07/FC-1.NAE7-T1-FEC44.EFGEAD-C,EF-G-05 Exhaust Air Damper Command
198,OBJECT_BINARY_OUTPUT_3000296,NAE07/FC-1.NAE7-T1-FEC44.EF28-C,Exhaust Fan EF-G-05 Command
199,OBJECT_BINARY_OUTPUT_3000306,NAE07/FC-1.NAE7-T1-FEC45.EF21-C,Exhaust Air Damper Command
200,OBJECT_BINARY_OUTPUT_3000309,NAE07/FC-1.NAE7-T1-FEC45.EF20-C,Exhaust Air Damper Command
201,OBJECT_BINARY_OUTPUT_3000316,NAE07/FC-1.NAE7-T1-FEC46.EF19-C,Exhaust Fan Command
202,OBJECT_BINARY_OUTPUT_3000317,NAE07/FC-1.NAE7-T1-FEC46.EF10-C,Exhaust Fan Command
203,OBJECT_BINARY_OUTPUT_3000326,NAE07/FC-1.NAE7-T1-FEC46.EF13-C,Exhaust Fan Command
204,OBJECT_BINARY_OUTPUT_3000337,NAE07/FC-1.NAE7-T1-FEC47.EF12-C,Exhaust Air Damper Command
205,OBJECT_BINARY_OUTPUT_3000339,NAE07/FC-1.NAE7-T1-FEC47.EF11-C,Exhaust Air Damper Command
206,OBJECT_BINARY_OUTPUT_3000347,NAE07/FC-1.NAE7-T1-FEC50.SF-C,AHU3  Supply Fan Command
207,OBJECT_BINARY_OUTPUT_3000454,NAE07/FC-1.AHU 1&2.SF-C,Supply Fan Command
208,OBJECT_BINARY_OUTPUT_3000463,NAE07/FC-1.AHU 1&2.SF2-C,Supply Fan2 Command
209,OBJECT_BINARY_OUTPUT_3000567,NAE07/FC-1.STEAM.STM-B1-C,Steam Boiler 1 Command
210,OBJECT_BINARY_OUTPUT_3000569,NAE07/FC-1.STEAM.STM-B2-C,Steam Boiler 2 Command
211,OBJECT_BINARY_OUTPUT_3000616,NAE07/FC-1.NAE7-T1-FEC52.BLR3-EN,Boiler 3 Enable
212,OBJECT_BINARY_OUTPUT_3000625,NAE07/FC-1.NAE7-T1-FEC52.BLR6-EN,Boiler 6 Enable
213,OBJECT_BINARY_OUTPUT_3000626,NAE07/FC-1.NAE7-T1-FEC52.SHWP2-C,Secondary HW Pump 2 Command
214,OBJECT_BINARY_OUTPUT_3000630,NAE07/FC-1.NAE7-T1-FEC52.BLR5-EN,Boiler 5 Enable
215,OBJECT_BINARY_OUTPUT_3000633,NAE07/FC-1.NAE7-T1-FEC52.BLR4-EN,Boiler 4 Enable
216,OBJECT_BINARY_OUTPUT_3000634,NAE07/FC-1.NAE7-T1-FEC52.SHWP1-C,Secondary HW Pump 1 Command
217,OBJECT_BINARY_OUTPUT_3000635,NAE07/FC-1.NAE7-T1-FEC52.PHWP1-C,Primary HW Pump 1 Command
218,OBJECT_BINARY_OUTPUT_3000636,NAE07/FC-1.NAE7-T1-FEC52.PHWP2-C,Primary HW Pump 2 Command
219,OBJECT_BINARY_OUTPUT_3000646,NAE07/FC-1.NAE7-T1-FEC52.OAD-C,Outdoor Air Damper Command
