Data,Label
OBJECT_ANALOG_INPUT_3000147NAE02/FC-2.NAE2-T2-FEC37.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000165NAE02/FC-2.NAE2-T2-FEC38.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000183NAE02/FC-2.NAE2-T2-FEC39.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000201NAE02/FC-2.NAE2-T2-FEC40.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000357NAE02/FC-2.NAE2-T2-FEC22.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000375NAE02/FC-2.NAE2-T2-FEC23.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000393NAE02/FC-2.NAE2-T2-FEC24.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000411NAE02/FC-2.NAE2-T2-FEC25.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000429NAE02/FC-2.NAE2-T2-FEC26.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000447NAE02/FC-2.NAE2-T2-FEC27.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000483NAE02/FC-2.NAE2-T2-FEC28.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000487NAE02/FC-2.NAE2-T2-FEC28.ZN3-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000515NAE02/FC-2.NAE2-T2-FEC10.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000535NAE02/FC-2.NAE2-T2-FEC11.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000553NAE02/FC-2.NAE2-T2-FEC12.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000709NAE02/FC-2.NAE2-T2-FEC7.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000729NAE02/FC-2.NAE2-T2-FEC8.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000747NAE02/FC-2.NAE2-T2-FEC9.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000765NAE02/FC-1.NAE2-T1-FEC71.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000783NAE02/FC-1.NAE2-T1-FEC72.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000801NAE02/FC-1.NAE2-T1-FEC73.ZN1-TZone2 Temperature,10
