,term,replacement
229,MA,medium access 
230,MAC,medium access control
231,MPCI,MAC protocol control information
232,MPDU,MAC layer protocol data unit
233,MSDU,MAC service data unit
234,MS/TP,master-slave/token-passing
235,N,network layer 
236,,"""Not a Number"", a unique binary pattern representing an invalid number "
237,NAT,Network Address Translation or Port Address Translation - RFC 2663
238,NP,network priority
239,NPCI,network protocol control information
240,NPDU,network layer protocol data unit
241,NRZ,non-return to zero
242,NSAP,network service access point
243,NSDU,network service data unit
244,O,indicates that support of a property is optional
245,OSI,open systems interconnection
246,P,physical layer 
247,PAC,ARCNET data packet header octet
248,PACS,physical access control system
249,PCI,protocol control information
250,PDU,protocol data unit
251,PICS,protocol implementation conformance statement
252,PKI,public key infrastructure
253,PPCI,physical layer protocol control information
254,PPDU,physical protocol data unit
255,PPP,Point-To-Point protocol
256,PSDU,physical service data unit
257,PTP,point-to-point
258,R,indicates that a property shall be supported and readable using BACnet services
259,RBAC,role-based access control
260,REQ,request primitive
261,REST,representational state transfer
262,RFC,request for comment
263,RSA,Rivest-Shamir-Adleman cryptosystem
264,RSP,response primitive
265,S,selection
266,SA,local network source MAC layer address
267,SAP,service access point
268,SC,ARCNET system code 
269,SDU,service data unit
270,SIA,Security Industry Association
271,SID,ARCNET source MAC address
272,SLAAC,IPv6 Stateless Auto Address Configuration
273,SLEN,1-octet length of original source MAC layer address
274,SLIP,Serial Line Internet Protocol
275,SNET,2-octet original source network number
276,SOAP,simple object access protocol
277,SPC,standard project committee
278,SSAP,LLC source service access point 
279,TLS,transport layer security 
280,TSM,transaction state machine
281,U,user option
282,UART,universal asynchronous receiver/transmitter
283,UDP,User Datagram Protocol
284,URI,uniform resource identifier 
285,URL,uniform resource locator 
286,UTC,Universal Time Coordinated
287,UUID,universally unique identifier 
288,VAV,variable air volume
289,VT,virtual terminal
290,W,"indicates that a property shall be supported, readable, and writable using BACnet services"
291,XML,extensible markup language
292,AE,Alarm and Event
293,ESUM,Enrollment Summary
294,INFO,Information
295,N,Notification
296,DDB,Dynamic Device Building
297,DM,Device Management
298,DCC,Device Communication Control
299,DOB,Device Object Building
300,TS,Dynamic Time Synchronization
301,RD,Reinitialize Device
302,BR,Backup and Restore
303,DS,Data Sharing
304,RP,Read Property
305,RPM,Read Property Multiple
306,WP,Write Property
307,WPM,Write Property Multiple
308,SCHED,Scheduling
309,NAE,Network Automation Engines
310,NCE,Network Control Engines
311,FEC,Field Equipment Controller
312,FAC,Advanced Field Equipment Controller
313,VMA,Variable air volume modular assembly
314,IOM,Input/Output Modules
