,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
26,OBJECT_ANALOG_INPUT_3000243,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2B,Return Air CO2 Sensor B
27,OBJECT_ANALOG_INPUT_3000244,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2C,Return Air CO2 Sensor C
28,OBJECT_ANALOG_INPUT_3000245,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2D,Return Air CO2 Sensor D
29,OBJECT_ANALOG_INPUT_3000246,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2E,Return Air CO2
30,OBJECT_ANALOG_INPUT_3000248,NAE08/FC-1.NAE8-T1-FEC81.SA-T,Supply Air Temperature
31,OBJECT_ANALOG_INPUT_3000249,NAE08/FC-1.NAE8-T1-FEC81.ZN1-T,South West Corner
32,OBJECT_ANALOG_INPUT_3000250,NAE08/FC-1.NAE8-T1-FEC81.ZN2-T,North East Corner
33,OBJECT_ANALOG_INPUT_3000251,NAE08/FC-1.NAE8-T1-FEC81.ZN3-T,West Electrical Room
34,OBJECT_ANALOG_INPUT_3000252,NAE08/FC-1.NAE8-T1-FEC81.ZN4-T,Compartment Unit Temp
35,OBJECT_ANALOG_INPUT_3000256,NAE08/FC-1.NAE8-T1-FEC81.OA-F,Outdoor Air Flow
36,OBJECT_ANALOG_INPUT_3000269,NAE08/FC-1.NAE8-T1-FEC58.FLOOR-P1,Floor Static Pressure 1
37,OBJECT_ANALOG_INPUT_3000270,NAE08/FC-1.NAE8-T1-FEC58.FLOOR-P2,Floor Static Pressure 2
38,OBJECT_ANALOG_INPUT_3000275,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2A,Return Air CO2 Sensor A
39,OBJECT_ANALOG_INPUT_3000276,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2B,Return Air CO2 Sensor B
40,OBJECT_ANALOG_INPUT_3000277,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2C,Return Air CO2 Sensor C
41,OBJECT_ANALOG_INPUT_3000278,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2D,Return Air CO2 Sensor D
42,OBJECT_ANALOG_INPUT_3000279,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2E,Return Air CO2
43,OBJECT_ANALOG_INPUT_3000281,NAE08/FC-1.NAE8-T1-FEC58.SA-T,Supply Air Temperature
44,OBJECT_ANALOG_INPUT_3000282,NAE08/FC-1.NAE8-T1-FEC58.ZN1-T,South West Corner
45,OBJECT_ANALOG_INPUT_3000283,NAE08/FC-1.NAE8-T1-FEC58.ZN2-T,North East Corner
46,OBJECT_ANALOG_INPUT_3000284,NAE08/FC-1.NAE8-T1-FEC58.ZN3-T,West Electrical Room
47,OBJECT_ANALOG_INPUT_3000285,NAE08/FC-1.NAE8-T1-FEC58.ZN4-T,Compartment Unit Temp
48,OBJECT_ANALOG_INPUT_3000289,NAE08/FC-1.NAE8-T1-FEC58.OA-F,Outdoor Air Flow
49,OBJECT_ANALOG_INPUT_3000307,NAE08/FC-1.NAE8-T1-FEC59.ZN2-T,Zone2 Temperature
50,OBJECT_ANALOG_INPUT_3000309,NAE08/FC-1.NAE8-T1-FEC59.ZN1-T,Zone 1 Temperature
51,OBJECT_ANALOG_INPUT_3000324,NAE08/FC-1.NAE8-T1-FEC60.ZN2-T,Zone2 Temperature
52,OBJECT_ANALOG_INPUT_3000326,NAE08/FC-1.NAE8-T1-FEC60.ZN1-T,Zone 1 Temperature
53,OBJECT_ANALOG_INPUT_3000341,NAE08/FC-1.NAE8-T1-FEC61.ZN2-T,Zone2 Temperature
54,OBJECT_ANALOG_INPUT_3000343,NAE08/FC-1.NAE8-T1-FEC61.ZN1-T,Zone 1 Temperature
55,OBJECT_ANALOG_INPUT_3000358,NAE08/FC-1.NAE8-T1-FEC62.ZN2-T,Zone2 Temperature
56,OBJECT_ANALOG_INPUT_3000360,NAE08/FC-1.NAE8-T1-FEC62.ZN1-T,Zone 1 Temperature
57,OBJECT_ANALOG_INPUT_3000375,NAE08/FC-1.NAE8-T1-FEC63.ZN2-T,Zone2 Temperature
58,OBJECT_ANALOG_INPUT_3000377,NAE08/FC-1.NAE8-T1-FEC63.ZN1-T,Zone 1 Temperature
59,OBJECT_ANALOG_INPUT_3000392,NAE08/FC-1.NAE8-T1-FEC64.ZN2-T,Zone2 Temperature
60,OBJECT_ANALOG_INPUT_3000394,NAE08/FC-1.NAE8-T1-FEC64.ZN1-T,Zone 1 Temperature
61,OBJECT_ANALOG_INPUT_3000409,NAE08/FC-1.NAE8-T1-FEC65.ZN2-T,Zone2 Temperature
62,OBJECT_ANALOG_INPUT_3000411,NAE08/FC-1.NAE8-T1-FEC65.ZN1-T,Zone 1 Temperature
63,OBJECT_ANALOG_INPUT_3000426,NAE08/FC-1.NAE8-T1-FEC66.ZN2-T,Zone2 Temperature
64,OBJECT_ANALOG_INPUT_3000443,NAE08/FC-1.NAE8-T1-FEC67.ZN2-T,Zone2 Temperature
65,OBJECT_ANALOG_INPUT_3000445,NAE08/FC-1.NAE8-T1-FEC67.ZN1-T,Zone 1 Temperature
66,OBJECT_ANALOG_INPUT_3000460,NAE08/FC-1.NAE8-T1-FEC68.ZN2-T,Zone2 Temperature
67,OBJECT_ANALOG_INPUT_3000462,NAE08/FC-1.NAE8-T1-FEC68.ZN1-T,Zone 1 Temperature
68,OBJECT_ANALOG_INPUT_3000477,NAE08/FC-1.NAE8-T1-FEC69.ZN2-T,Zone2 Temperature
69,OBJECT_ANALOG_INPUT_3000479,NAE08/FC-1.NAE8-T1-FEC69.ZN1-T,Zone 1 Temperature
70,OBJECT_ANALOG_INPUT_3000489,NAE08/FC-1.NAE8-T1-FEC45.FLOOR-P1,Floor Static Pressure 1
71,OBJECT_ANALOG_INPUT_3000490,NAE08/FC-1.NAE8-T1-FEC45.FLOOR-P2,Floor Static Pressure 2
72,OBJECT_ANALOG_INPUT_3000496,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2B,Return Air CO2 Sensor B
73,OBJECT_ANALOG_INPUT_3000497,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2C,Return Air CO2 Sensor C
74,OBJECT_ANALOG_INPUT_3000498,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2D,Return Air CO2 Sensor D
75,OBJECT_ANALOG_INPUT_3000499,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2E,Return Air CO2
76,OBJECT_ANALOG_INPUT_3000501,NAE08/FC-1.NAE8-T1-FEC45.SA-T,Supply Air Temperature
77,OBJECT_ANALOG_INPUT_3000502,NAE08/FC-1.NAE8-T1-FEC45.ZN1-T,South West Corner
78,OBJECT_ANALOG_INPUT_3000503,NAE08/FC-1.NAE8-T1-FEC45.ZN2-T,North East Corner
79,OBJECT_ANALOG_INPUT_3000504,NAE08/FC-1.NAE8-T1-FEC45.ZN3-T,West Electrical Room
80,OBJECT_ANALOG_INPUT_3000505,NAE08/FC-1.NAE8-T1-FEC45.ZN4-T,Compartment Unit Temp
81,OBJECT_ANALOG_INPUT_3000509,NAE08/FC-1.NAE8-T1-FEC45.OA-F,Outdoor Air Flow
82,OBJECT_ANALOG_INPUT_3000527,NAE08/FC-1.NAE8-T1-FEC46.ZN2-T,Zone2 Temperature
83,OBJECT_ANALOG_INPUT_3000529,NAE08/FC-1.NAE8-T1-FEC46.ZN1-T,Zone 1 Temperature
84,OBJECT_ANALOG_INPUT_3000544,NAE08/FC-1.NAE8-T1-FEC47.ZN2-T,Zone2 Temperature
85,OBJECT_ANALOG_INPUT_3000546,NAE08/FC-1.NAE8-T1-FEC47.ZN1-T,Zone 1 Temperature
86,OBJECT_ANALOG_INPUT_3000561,NAE08/FC-1.NAE8-T1-FEC48.ZN2-T,Zone2 Temperature
87,OBJECT_ANALOG_INPUT_3000563,NAE08/FC-1.NAE8-T1-FEC48.ZN1-T,Zone 1 Temperature
88,OBJECT_ANALOG_INPUT_3000578,NAE08/FC-1.NAE8-T1-FEC49.ZN2-T,Zone2 Temperature
89,OBJECT_ANALOG_INPUT_3000580,NAE08/FC-1.NAE8-T1-FEC49.ZN1-T,Zone 1 Temperature
90,OBJECT_ANALOG_INPUT_3000595,NAE08/FC-1.NAE8-T1-FEC50.ZN2-T,Zone2 Temperature
91,OBJECT_ANALOG_INPUT_3000597,NAE08/FC-1.NAE8-T1-FEC50.ZN1-T,Zone 1 Temperature
92,OBJECT_ANALOG_INPUT_3000612,NAE08/FC-1.NAE8-T1-FEC51.ZN2-T,Zone2 Temperature
93,OBJECT_ANALOG_INPUT_3000614,NAE08/FC-1.NAE8-T1-FEC51.ZN1-T,Zone 1 Temperature
94,OBJECT_ANALOG_INPUT_3000629,NAE08/FC-1.NAE8-T1-FEC52.ZN2-T,Zone2 Temperature
95,OBJECT_ANALOG_INPUT_3000631,NAE08/FC-1.NAE8-T1-FEC52.ZN1-T,Zone 1 Temperature
96,OBJECT_ANALOG_INPUT_3000646,NAE08/FC-1.NAE8-T1-FEC53.ZN2-T,Zone2 Temperature
97,OBJECT_ANALOG_INPUT_3000648,NAE08/FC-1.NAE8-T1-FEC53.ZN1-T,Zone 1 Temperature
98,OBJECT_ANALOG_INPUT_3000663,NAE08/FC-1.NAE8-T1-FEC54.ZN2-T,Zone2 Temperature
99,OBJECT_ANALOG_INPUT_3000665,NAE08/FC-1.NAE8-T1-FEC54.ZN1-T,Zone 1 Temperature
100,OBJECT_ANALOG_INPUT_3000680,NAE08/FC-1.NAE8-T1-FEC55.ZN2-T,Zone2 Temperature
101,OBJECT_ANALOG_INPUT_3000682,NAE08/FC-1.NAE8-T1-FEC55.ZN1-T,Zone 1 Temperature
102,OBJECT_ANALOG_INPUT_3000697,NAE08/FC-1.NAE8-T1-FEC56.ZN2-T,Zone2 Temperature
103,OBJECT_ANALOG_INPUT_3000699,NAE08/FC-1.NAE8-T1-FEC56.ZN1-T,Zone 1 Temperature
104,OBJECT_ANALOG_INPUT_3000710,NAE08/FC-1.NAE8-T1-VMA44.DA-VP,Discharge Air Velocity Pressure
105,OBJECT_ANALOG_INPUT_3000717,NAE08/FC-1.NAE8-T1-VMA57.DA-VP,Discharge Air Velocity Pressure
106,OBJECT_ANALOG_INPUT_3000724,NAE08/FC-1.NAE8-T1-VMA73.DA-VP,Discharge Air Velocity Pressure
107,OBJECT_ANALOG_INPUT_3001023,NAE08/FC-1.9-UP-86.ZN1-T,Zone 1 Temperature
108,OBJECT_ANALOG_INPUT_3001025,NAE08/FC-1.9-UP-86.ZN2-T,Zone2 Temperature
109,OBJECT_ANALOG_INPUT_3001027,NAE08/FC-1.9-UP-86.ZN3-T,Zone3 Temperature
110,OBJECT_ANALOG_INPUT_3001045,NAE08/FC-1.9-UP-85.ZN1-T,Zone 1 Temperature
111,OBJECT_ANALOG_INPUT_3001047,NAE08/FC-1.9-UP-85.ZN2-T,Zone2 Temperature
112,OBJECT_ANALOG_INPUT_3001061,NAE08/FC-1.9-UP-84.ZN1-T,Zone 1 Temperature
113,OBJECT_ANALOG_INPUT_3001073,NAE08/FC-1.9-UP-83.ZN1-T,Zone 1 Temperature
114,OBJECT_ANALOG_INPUT_3001111,NAE08/FC-1.9-UP-87.DA-VP,Discharge Air Velocity Pressure
115,OBJECT_ANALOG_INPUT_3001140,NAE08/FC-1.NAE8-T1-VMA73.ZN-T,Zone Temperature
116,OBJECT_ANALOG_INPUT_3001149,NAE08/FC-1.NAE8-T1-VMA44.ZN-T,Zone Temperature
117,OBJECT_ANALOG_INPUT_3001150,NAE08/FC-1.NAE8-T1-VMA57.ZN-T,Zone Temperature
118,OBJECT_ANALOG_INPUT_3001664,NAE08/FC-1.7-UP-90.ZN1-T,Zone 1 Temperature
119,OBJECT_ANALOG_INPUT_3001666,NAE08/FC-1.7-UP-90.ZN2-T,Zone 2 Temperature
120,OBJECT_ANALOG_INPUT_3001668,NAE08/FC-1.7-UP-90.ZN3-T,Zone 3 Temperature
121,OBJECT_ANALOG_INPUT_3001709,NAE08/FC-1.7-UP-91.ZN1-T,Zone 1 Temperature
122,OBJECT_ANALOG_INPUT_3001750,NAE08/FC-1.7-UP-92.ZN1-T,Zone 1 Temperature
123,OBJECT_ANALOG_INPUT_3001752,NAE08/FC-1.7-UP-92.ZN2-T,Zone 2 Temperature
124,OBJECT_ANALOG_INPUT_3001754,NAE08/FC-1.7-UP-92.ZN3-T,Zone 3 Temperature
125,OBJECT_ANALOG_INPUT_3002154,NAE08/FC-1.NAE8-T1-FEC66.ZN1-T,Zone 1 Temperature
126,OBJECT_ANALOG_INPUT_3002175,NAE08/FC-1.8-UP-100.ZN3-T,Zone 3 Temperature
127,OBJECT_ANALOG_INPUT_3002176,NAE08/FC-1.8-UP-100.ZN2-T,Zone 2 Temperature
128,OBJECT_ANALOG_INPUT_3002465,NAE08/FC-1.9-UP-88.DA-VP,Discharge Air Velocity Pressure
129,OBJECT_ANALOG_INPUT_3002526,NAE08/FC-1.8-UP-101.ZN1-T,Zone 1 Temperature
130,OBJECT_ANALOG_INPUT_3002560,NAE08/FC-1.7-UP-91.ZNA-CO2,Zone A CO2
131,OBJECT_ANALOG_INPUT_3002586,NAE08/FC-1.NAE8-T1-FEC64.ZN3-T,Zone 3 Temperature
132,OBJECT_ANALOG_INPUT_3002617,NAE08/FC-1.7-UP-93.ZN1-T,Zone 1 Temperature
133,OBJECT_ANALOG_INPUT_3003417,NAE08/FC-1.9-UP-89.DA-VP,Discharge Air Velocity Pressure
134,OBJECT_ANALOG_INPUT_3003418,NAE08/FC-1.9-UP-89.ZN-T,Zone Temperature
135,OBJECT_ANALOG_INPUT_3003804,NAE08/FC-1.8-UP-102.ZN1-T,Zone 1 Temperature
136,OBJECT_ANALOG_OUTPUT_3000049,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG2-%,Heating Output
137,OBJECT_ANALOG_OUTPUT_3000050,NAE08/FC-1.NAE08-T1-FEC70.ZN2-DAD-%,Damper Effective Command
138,OBJECT_ANALOG_OUTPUT_3000051,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG1-%,Heating Output
139,OBJECT_ANALOG_OUTPUT_3000053,NAE08/FC-1.NAE08-T1-FEC70.DAD1-O,Discharge Air Damper Output
140,OBJECT_ANALOG_OUTPUT_3000066,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG2-%,Heating Output
141,OBJECT_ANALOG_OUTPUT_3000067,NAE08/FC-1.NAE8-T1-FEC71.ZN2-DAD-%,Damper Effective Command
142,OBJECT_ANALOG_OUTPUT_3000068,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG1-%,Heating Output
143,OBJECT_ANALOG_OUTPUT_3000070,NAE08/FC-1.NAE8-T1-FEC71.DAD1-O,Discharge Air Damper Output
144,OBJECT_ANALOG_OUTPUT_3000083,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG2-%,Heating Output
145,OBJECT_ANALOG_OUTPUT_3000084,NAE08/FC-1.NAE8-T1-FEC72.ZN2-DAD-%,Damper Effective Command
146,OBJECT_ANALOG_OUTPUT_3000085,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG1-%,Heating Output
147,OBJECT_ANALOG_OUTPUT_3000087,NAE08/FC-1.NAE8-T1-FEC72.DAD1-O,Discharge Air Damper Output
148,OBJECT_ANALOG_OUTPUT_3000100,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG2-%,Heating Output
149,OBJECT_ANALOG_OUTPUT_3000101,NAE08/FC-1.NAE8-T1-FEC73.ZN2-DAD-%,Damper Effective Command
150,OBJECT_ANALOG_OUTPUT_3000102,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG1-%,Heating Output
151,OBJECT_ANALOG_OUTPUT_3000104,NAE08/FC-1.NAE8-T1-FEC73.DAD1-O,Discharge Air Damper Output
152,OBJECT_ANALOG_OUTPUT_3000117,NAE08/FC-1.NAE8-T1-FEC74.SUPHTG2-%,Heating Output
153,OBJECT_ANALOG_OUTPUT_3000118,NAE08/FC-1.NAE8-T1-FEC74.ZN2-DAD-%,Damper Effective Command
154,OBJECT_ANALOG_OUTPUT_3000119,NAE08/FC-1.NAE8-T1-FEC74.SUPHTG1-%,Heating Output
155,OBJECT_ANALOG_OUTPUT_3000121,NAE08/FC-1.NAE8-T1-FEC74.DAD1-O,Discharge Air Damper Output
156,OBJECT_ANALOG_OUTPUT_3000134,NAE08/FC-1.NAE8-T1-FEC75.SUPHTG2-%,Heating Output
157,OBJECT_ANALOG_OUTPUT_3000135,NAE08/FC-1.NAE8-T1-FEC75.ZN2-DAD-%,Damper Effective Command
158,OBJECT_ANALOG_OUTPUT_3000136,NAE08/FC-1.NAE8-T1-FEC75.SUPHTG1-%,Heating Output
159,OBJECT_ANALOG_OUTPUT_3000138,NAE08/FC-1.NAE8-T1-FEC75.DAD1-O,Discharge Air Damper Output
160,OBJECT_ANALOG_OUTPUT_3000151,NAE08/FC-1.NAE8-T1-FEC76.SUPHTG2-%,Heating Output
161,OBJECT_ANALOG_OUTPUT_3000152,NAE08/FC-1.NAE8-T1-FEC76.ZN2-DAD-%,Damper Effective Command
162,OBJECT_ANALOG_OUTPUT_3000153,NAE08/FC-1.NAE8-T1-FEC76.SUPHTG1-%,Heating Output
163,OBJECT_ANALOG_OUTPUT_3000155,NAE08/FC-1.NAE8-T1-FEC76.DAD1-O,Discharge Air Damper Output
164,OBJECT_ANALOG_OUTPUT_3000168,NAE08/FC-1.NAE8-T1-FEC77.SUPHTG2-%,Heating Output
165,OBJECT_ANALOG_OUTPUT_3000169,NAE08/FC-1.NAE8-T1-FEC77.ZN2-DAD-%,Damper Effective Command
166,OBJECT_ANALOG_OUTPUT_3000170,NAE08/FC-1.NAE8-T1-FEC77.SUPHTG1-%,Heating Output
167,OBJECT_ANALOG_OUTPUT_3000172,NAE08/FC-1.NAE8-T1-FEC77.DAD1-O,Discharge Air Damper Output
168,OBJECT_ANALOG_OUTPUT_3000185,NAE08/FC-1.NAE8-T1-FEC78.SUPHTG2-%,Heating Output
169,OBJECT_ANALOG_OUTPUT_3000186,NAE08/FC-1.NAE8-T1-FEC78.ZN2-DAD-%,Damper Effective Command
170,OBJECT_ANALOG_OUTPUT_3000187,NAE08/FC-1.NAE8-T1-FEC78.SUPHTG1-%,Heating Output
171,OBJECT_ANALOG_OUTPUT_3000189,NAE08/FC-1.NAE8-T1-FEC78.DAD1-O,Discharge Air Damper Output
172,OBJECT_ANALOG_OUTPUT_3000202,NAE08/FC-1.NAE8-T1-FEC79.SUPHTG2-%,Heating Output
173,OBJECT_ANALOG_OUTPUT_3000203,NAE08/FC-1.NAE8-T1-FEC79.ZN2-DAD-%,Damper Effective Command
174,OBJECT_ANALOG_OUTPUT_3000204,NAE08/FC-1.NAE8-T1-FEC79.SUPHTG1-%,Heating Output
175,OBJECT_ANALOG_OUTPUT_3000206,NAE08/FC-1.NAE8-T1-FEC79.DAD1-O,Discharge Air Damper Output
176,OBJECT_ANALOG_OUTPUT_3000219,NAE08/FC-1.NAE8-T1-FEC80.SUPHTG2-%,Heating Output
177,OBJECT_ANALOG_OUTPUT_3000220,NAE08/FC-1.NAE8-T1-FEC80.ZN2-DAD-%,Damper Effective Command
178,OBJECT_ANALOG_OUTPUT_3000221,NAE08/FC-1.NAE8-T1-FEC80.SUPHTG1-%,Heating Output
179,OBJECT_ANALOG_OUTPUT_3000223,NAE08/FC-1.NAE8-T1-FEC80.DAD1-O,Discharge Air Damper Output
180,OBJECT_ANALOG_OUTPUT_3000241,NAE08/FC-1.NAE8-T1-FEC81.SF-O,Supply Fan Output
181,OBJECT_ANALOG_OUTPUT_3000247,NAE08/FC-1.NAE8-T1-FEC81.OAD-%,Outdoor Air Damper Effective Command
182,OBJECT_ANALOG_OUTPUT_3000257,NAE08/FC-1.NAE8-T1-FEC81.CLG-O,Cooling Output
183,OBJECT_ANALOG_OUTPUT_3000274,NAE08/FC-1.NAE8-T1-FEC58.SF-O,Supply Fan Output
184,OBJECT_ANALOG_OUTPUT_3000280,NAE08/FC-1.NAE8-T1-FEC58.OAD-%,Outdoor Air Damper Effective Command
185,OBJECT_ANALOG_OUTPUT_3000290,NAE08/FC-1.NAE8-T1-FEC58.CLG-O,Cooling Output
186,OBJECT_ANALOG_OUTPUT_3000302,NAE08/FC-1.NAE8-T1-FEC59.SUPHTG2-%,Heating Output
187,OBJECT_ANALOG_OUTPUT_3000303,NAE08/FC-1.NAE8-T1-FEC59.ZN2-DAD-%,Damper Effective Command
188,OBJECT_ANALOG_OUTPUT_3000304,NAE08/FC-1.NAE8-T1-FEC59.SUPHTG1-%,Heating Output
189,OBJECT_ANALOG_OUTPUT_3000306,NAE08/FC-1.NAE8-T1-FEC59.DAD1-O,Discharge Air Damper Output
190,OBJECT_ANALOG_OUTPUT_3000319,NAE08/FC-1.NAE8-T1-FEC60.SUPHTG2-%,Heating Output
191,OBJECT_ANALOG_OUTPUT_3000320,NAE08/FC-1.NAE8-T1-FEC60.ZN2-DAD-%,Damper Effective Command
192,OBJECT_ANALOG_OUTPUT_3000321,NAE08/FC-1.NAE8-T1-FEC60.SUPHTG1-%,Heating Output
193,OBJECT_ANALOG_OUTPUT_3000323,NAE08/FC-1.NAE8-T1-FEC60.DAD1-O,Discharge Air Damper Output
194,OBJECT_ANALOG_OUTPUT_3000336,NAE08/FC-1.NAE8-T1-FEC61.SUPHTG2-%,Heating Output
195,OBJECT_ANALOG_OUTPUT_3000337,NAE08/FC-1.NAE8-T1-FEC61.ZN2-DAD-%,Damper Effective Command
196,OBJECT_ANALOG_OUTPUT_3000338,NAE08/FC-1.NAE8-T1-FEC61.SUPHTG1-%,Heating Output
197,OBJECT_ANALOG_OUTPUT_3000340,NAE08/FC-1.NAE8-T1-FEC61.DAD1-O,Discharge Air Damper Output
198,OBJECT_ANALOG_OUTPUT_3000353,NAE08/FC-1.NAE8-T1-FEC62.SUPHTG2-%,Heating Output
199,OBJECT_ANALOG_OUTPUT_3000354,NAE08/FC-1.NAE8-T1-FEC62.ZN2-DAD-%,Damper Effective Command
200,OBJECT_ANALOG_OUTPUT_3000355,NAE08/FC-1.NAE8-T1-FEC62.SUPHTG1-%,Heating Output
201,OBJECT_ANALOG_OUTPUT_3000357,NAE08/FC-1.NAE8-T1-FEC62.DAD1-O,Discharge Air Damper Output
202,OBJECT_ANALOG_OUTPUT_3000370,NAE08/FC-1.NAE8-T1-FEC63.SUPHTG2-%,Heating Output
203,OBJECT_ANALOG_OUTPUT_3000371,NAE08/FC-1.NAE8-T1-FEC63.ZN2-DAD-%,Damper Effective Command
204,OBJECT_ANALOG_OUTPUT_3000372,NAE08/FC-1.NAE8-T1-FEC63.SUPHTG1-%,Heating Output
205,OBJECT_ANALOG_OUTPUT_3000374,NAE08/FC-1.NAE8-T1-FEC63.DAD1-O,Discharge Air Damper Output
206,OBJECT_ANALOG_OUTPUT_3000387,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG2-%,Heating Output
207,OBJECT_ANALOG_OUTPUT_3000388,NAE08/FC-1.NAE8-T1-FEC64.ZN2-DAD-%,Damper Effective Command
208,OBJECT_ANALOG_OUTPUT_3000389,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG1-%,Heating Output
209,OBJECT_ANALOG_OUTPUT_3000391,NAE08/FC-1.NAE8-T1-FEC64.DAD1-O,Discharge Air Damper Output
210,OBJECT_ANALOG_OUTPUT_3000404,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG2-%,Heating Output
211,OBJECT_ANALOG_OUTPUT_3000405,NAE08/FC-1.NAE8-T1-FEC65.ZN2-DAD-%,Damper Effective Command
212,OBJECT_ANALOG_OUTPUT_3000406,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG1-%,Heating Output
213,OBJECT_ANALOG_OUTPUT_3000408,NAE08/FC-1.NAE8-T1-FEC65.DAD1-O,Discharge Air Damper Output
214,OBJECT_ANALOG_OUTPUT_3000421,NAE08/FC-1.NAE8-T1-FEC66.SUPHTG2-%,Heating Output
215,OBJECT_ANALOG_OUTPUT_3000422,NAE08/FC-1.NAE8-T1-FEC66.ZN2-DAD-%,Damper Effective Command
216,OBJECT_ANALOG_OUTPUT_3000423,NAE08/FC-1.NAE8-T1-FEC66.SUPHTG1-%,Heating Output
217,OBJECT_ANALOG_OUTPUT_3000425,NAE08/FC-1.NAE8-T1-FEC66.DAD1-O,Discharge Air Damper Output
