,tag,content
199,total,Indicates a total quantity.
200,tripleDuct,"Indicates an ahu which discharges into three ducts which are the hotDeck, coldDeck, and neutralDeck."
201,tz,Timezone identifier string which is a city name from the zoneinfo database.
202,unit,Unit of measurement identifier from unit database.
203,unocc,Marker tag used to indicate a setpoint is associated with unoccupied mode.
204,uv,Unit ventilators are unitary heating/cooling assets which have direct access to outside fresh air.
205,valve,Marker tag on point which indicates a valve used to regulate or control the flow or pressure of a fluid.
206,variableVolume,Marks an ahu as delivering a variable volume of air flow.
207,vav,Variable Volume Volume supply duct equip.
208,vavMode,Enumerated Str point which specifies a VAV's operating mode as one the following standardized string values
209,vavZone,Marker for an ahu which delivers air to zones via vav terminal units.
210,vfd,Marker for a motor equip with variable frequency drive.
211,visibility,Distance at which light can be clearly discerned measured in km or miles.
212,volt,Models a point associated with electrical voltage; should be paired with one of the following tags
213,volume,"Marker tag on a point which measures total volume which has flowed through a meter, duct, or pipe."
214,water,Point associated with the measurement or control of water.
215,waterCooled,Indicates chiller which uses water to cool the hot refrigerant.
216,waterMeterLoad,Equip or point which consumes water as load.
217,weather,Marker tag for a weather station entity.
218,weatherCond,Used with a Str enum point to enumerate conditions with one of the following string values
219,weatherPoint,Point sensor value associated with a weather station.
220,weatherRef,Associates an entity with a weather station.
221,wetBulb,Associates a point with the wet-bulb temperature.
222,wind,Point associated with the measurement of the wind.
223,writable,Annotates a point as a writable output with 16-level priority array.
224,writeErr,Error message associated when writeStatus indicates an error condition.
225,writeLevel,Current priority level for writeVal as number between 1 and 17.
226,writeStatus,Current status of a writable point output
227,writeVal,Current desired value to write to output.
228,yearBuilt,Tag on site which is four digit year that a building was first built.
229,zone,Associated with a conditioned zone of a building.
