,Unnamed: 0.1,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION,label
25,25,OBJECT_ANALOG_INPUT_3000225,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.MeSH_Return Air-CO2A\MeSH_Notification'",R.A. MTI CO2 Sensor A- South East  July26/2016,ahus zone air co2 sensor
26,26,OBJECT_ANALOG_INPUT_3000226,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.MeSH_Return Air-CO2B\MeSH_Notification'",R.A. JCI CO2 Sensor B South West corner,ahus zone air temp standby cooling sp
27,27,OBJECT_ANALOG_INPUT_3000227,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.MeSH_Return Air-CO2C\MeSH_Notification'",Return Air CO2 Sensor C North West corner,ahus return air co2 sensor
28,28,OBJECT_ANALOG_INPUT_3000228,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.MeSH_Return Air-CO2D\MeSH_Notification'",R.A  JCI CO2 Sensor D Kitchen Stair B Jan 2020,ahus discharge air fan cmd
29,29,OBJECT_ANALOG_INPUT_3000229,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.MeSH_Return Air-CO2E\MeSH_Notification'",Return Air CO2,ahus return air co2 sensor
30,30,OBJECT_ANALOG_INPUT_3000231,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.MeSH_local network source MAC layer address-MeSH_Temperature\MeSH_Notification'",Supply Air Temperature,ahus zone air temp sensor
31,31,OBJECT_ANALOG_INPUT_3000234,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.ZN1-MeSH_Temperature\MeSH_Notification'",South West Corner,ahus outside air humidity sensor
32,32,OBJECT_ANALOG_INPUT_3000236,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.ZN2-MeSH_Temperature\MeSH_Notification'",North East Corner,ahus exhaust air damper cmd
33,33,OBJECT_ANALOG_INPUT_3000238,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.ZN3-MeSH_Temperature\MeSH_Notification'",West Electrical Room,ahus heatWheel cmd
34,34,OBJECT_ANALOG_INPUT_3000240,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.ZN4-MeSH_Temperature\MeSH_Notification'",Compartment Unit Temp,ahus heat stage cmd
35,35,OBJECT_ANALOG_INPUT_3000247,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.MeSH_Outdoor Air-MeSH_Flow Rate, Volumetric\MeSH_Notification'",Outdoor Air Flow,ahus outside air flow sp
36,36,OBJECT_ANALOG_INPUT_3000266,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC10.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
37,37,OBJECT_ANALOG_INPUT_3000268,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC10.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
38,38,OBJECT_ANALOG_INPUT_3000284,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC11.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
39,39,OBJECT_ANALOG_INPUT_3000286,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC11.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
40,40,OBJECT_ANALOG_INPUT_3000302,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC12.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
41,41,OBJECT_ANALOG_INPUT_3000304,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC12.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
42,42,OBJECT_ANALOG_INPUT_3000320,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC13.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
43,43,OBJECT_ANALOG_INPUT_3000322,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC13.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
44,44,OBJECT_ANALOG_INPUT_3000338,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC14.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
45,45,OBJECT_ANALOG_INPUT_3000340,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC14.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
46,46,OBJECT_ANALOG_INPUT_3000356,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC15.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
47,47,OBJECT_ANALOG_INPUT_3000358,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC15.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
48,48,OBJECT_ANALOG_INPUT_3000374,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC16.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
49,49,OBJECT_ANALOG_INPUT_3000376,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC16.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
50,50,OBJECT_ANALOG_INPUT_3000387,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.FLOOR-P1\MeSH_Notification'",Floor Static Pressure 1,ahus outside air pressure sensor
51,51,OBJECT_ANALOG_INPUT_3000390,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.FLOOR-P2\MeSH_Notification'",Floor Static Pressure 2,ahus outside air pressure sensor
52,52,OBJECT_ANALOG_INPUT_3000401,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.MeSH_Return Air-CO2A\MeSH_Notification'",Return Air CO2 Sensor A,ahus return air co2 sensor
53,53,OBJECT_ANALOG_INPUT_3000402,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.MeSH_Return Air-CO2B\MeSH_Notification'",Return Air CO2 Sensor B,ahus return air co2 sensor
54,54,OBJECT_ANALOG_INPUT_3000403,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.MeSH_Return Air-CO2C\MeSH_Notification'",Return Air CO2 Sensor C,ahus return air co2 sensor
55,55,OBJECT_ANALOG_INPUT_3000404,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.MeSH_Return Air-CO2D\MeSH_Notification'",Return Air CO2 Sensor D,ahus return air co2 sensor
56,56,OBJECT_ANALOG_INPUT_3000405,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.MeSH_Return Air-CO2E\MeSH_Notification'",Return Air CO2,ahus return air co2 sensor
57,57,OBJECT_ANALOG_INPUT_3000407,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.MeSH_local network source MAC layer address-MeSH_Temperature\MeSH_Notification'",Supply Air Temperature,ahus zone air temp sensor
58,58,OBJECT_ANALOG_INPUT_3000410,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.ZN1-MeSH_Temperature\MeSH_Notification'",South West Corner,ahus outside air humidity sensor
59,59,OBJECT_ANALOG_INPUT_3000412,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.ZN2-MeSH_Temperature\MeSH_Notification'",North East Corner,ahus exhaust air damper cmd
60,60,OBJECT_ANALOG_INPUT_3000414,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.ZN3-MeSH_Temperature\MeSH_Notification'",West Electrical Room,ahus heatWheel cmd
61,61,OBJECT_ANALOG_INPUT_3000416,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.ZN4-MeSH_Temperature\MeSH_Notification'",Compartment Unit Temp,ahus heat stage cmd
62,62,OBJECT_ANALOG_INPUT_3000423,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC5.MeSH_Outdoor Air-MeSH_Flow Rate, Volumetric\MeSH_Notification'",Outdoor Air Flow,ahus outside air flow sp
63,63,OBJECT_ANALOG_INPUT_3000442,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC6.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
64,64,OBJECT_ANALOG_INPUT_3000444,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC6.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
65,65,OBJECT_ANALOG_INPUT_3000460,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC7.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
66,66,OBJECT_ANALOG_INPUT_3000462,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC7.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
67,67,OBJECT_ANALOG_INPUT_3000478,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC8.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
68,68,OBJECT_ANALOG_INPUT_3000480,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC8.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
69,69,OBJECT_ANALOG_INPUT_3000496,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC9.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
70,70,OBJECT_ANALOG_INPUT_3000498,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC9.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
71,71,OBJECT_ANALOG_INPUT_3000509,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.FLOOR-P1\MeSH_Notification'",Floor Static Pressure 1,ahus outside air pressure sensor
72,72,OBJECT_ANALOG_INPUT_3000512,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.FLOOR-P2\MeSH_Notification'",Floor Static Pressure 2,ahus outside air pressure sensor
73,73,OBJECT_ANALOG_INPUT_3000523,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.MeSH_Return Air-CO2A\MeSH_Notification'",Return Air CO2 Sensor A,ahus return air co2 sensor
74,74,OBJECT_ANALOG_INPUT_3000524,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.MeSH_Return Air-CO2B\MeSH_Notification'",Return Air CO2 Sensor B,ahus return air co2 sensor
75,75,OBJECT_ANALOG_INPUT_3000525,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.MeSH_Return Air-CO2C\MeSH_Notification'",Return Air CO2 Sensor C,ahus return air co2 sensor
76,76,OBJECT_ANALOG_INPUT_3000526,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.MeSH_Return Air-CO2D\MeSH_Notification'",Return Air CO2 Sensor D,ahus return air co2 sensor
77,77,OBJECT_ANALOG_INPUT_3000527,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.MeSH_Return Air-CO2E\MeSH_Notification'",Return Air CO2,ahus return air co2 sensor
78,78,OBJECT_ANALOG_INPUT_3000529,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.MeSH_local network source MAC layer address-MeSH_Temperature\MeSH_Notification'",Supply Air Temperature,ahus zone air temp sensor
79,79,OBJECT_ANALOG_INPUT_3000532,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.ZN1-MeSH_Temperature\MeSH_Notification'",South West Corner,ahus outside air humidity sensor
80,80,OBJECT_ANALOG_INPUT_3000534,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.ZN2-MeSH_Temperature\MeSH_Notification'",North East Corner,ahus exhaust air damper cmd
81,81,OBJECT_ANALOG_INPUT_3000536,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.ZN3-MeSH_Temperature\MeSH_Notification'",West Electrical Room,ahus heatWheel cmd
82,82,OBJECT_ANALOG_INPUT_3000538,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.ZN4-MeSH_Temperature\MeSH_Notification'",Compartment Unit Temp,ahus heat stage cmd
83,83,OBJECT_ANALOG_INPUT_3000545,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC31.MeSH_Outdoor Air-MeSH_Flow Rate, Volumetric\MeSH_Notification'",Outdoor Air Flow,ahus outside air flow sp
84,84,OBJECT_ANALOG_INPUT_3000564,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC32.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
85,85,OBJECT_ANALOG_INPUT_3000566,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC32.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
86,86,OBJECT_ANALOG_INPUT_3000582,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC33.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
87,87,OBJECT_ANALOG_INPUT_3000584,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC33.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
88,88,OBJECT_ANALOG_INPUT_3000600,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC34.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
89,89,OBJECT_ANALOG_INPUT_3000602,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC34.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
90,90,OBJECT_ANALOG_INPUT_3000618,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC35.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
91,91,OBJECT_ANALOG_INPUT_3000620,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC35.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
92,92,OBJECT_ANALOG_INPUT_3000636,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC36.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
93,93,OBJECT_ANALOG_INPUT_3000638,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC36.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
94,94,OBJECT_ANALOG_INPUT_3000654,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC37.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
95,95,OBJECT_ANALOG_INPUT_3000656,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC37.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
96,96,OBJECT_ANALOG_INPUT_3000672,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC38.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
97,97,OBJECT_ANALOG_INPUT_3000674,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC38.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
98,98,OBJECT_ANALOG_INPUT_3000690,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC39.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
99,99,OBJECT_ANALOG_INPUT_3000692,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC39.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
100,100,OBJECT_ANALOG_INPUT_3000708,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC40.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
101,101,OBJECT_ANALOG_INPUT_3000710,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC40.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
102,102,OBJECT_ANALOG_INPUT_3000726,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC41.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
103,103,OBJECT_ANALOG_INPUT_3000728,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC41.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
104,104,OBJECT_ANALOG_INPUT_3000744,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC42.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
105,105,OBJECT_ANALOG_INPUT_3000746,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC42.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
106,106,OBJECT_ANALOG_INPUT_3000762,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC17.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
107,107,OBJECT_ANALOG_INPUT_3000764,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE3-T1-FEC17.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
